0.991188	0.008372	
0.990479	0.009520	
0.960242	0.026905	
0.960242	0.026363	
0.957207	0.048756	
0.957207	0.048756	
0.883390	0.064132	
0.878456	0.067098	
0.878456	0.067098	
0.835047	0.089801	
0.819325	0.099597	
0.802566	0.108332	
0.802566	0.108332	
0.771387	0.123659	
0.768467	0.131675	
0.738494	0.143370	
0.736473	0.145808	
0.715213	0.157169	
0.704875	0.163840	
0.687858	0.172904	
0.677874	0.179804	
0.658587	0.189798	
0.651714	0.194193	
0.638728	0.201857	
0.628500	0.208984	
0.628500	0.214660	
0.605979	0.223140	
0.591517	0.232104	
0.586275	0.238210	
0.573699	0.245413	
0.573699	0.245456	
0.550685	0.259287	
0.540005	0.266450	
0.540005	0.266587	
0.519869	0.280252	
0.509278	0.289637	
0.501706	0.295089	
0.490809	0.300875	
0.486971	0.303633	
0.473307	0.313954	
0.463312	0.320689	
0.447218	0.332491	
0.447051	0.335408	
0.427533	0.347579	
0.427533	0.347622	
0.415487	0.356467	
0.405100	0.364966	
0.396831	0.371207	
0.384601	0.380918	
0.380454	0.384476	
0.368019	0.394386	
0.367614	0.394670	
0.360263	0.404135	
0.348405	0.410997	
0.337620	0.419943	
0.331303	0.425429	
0.323137	0.432299	
0.318003	0.436868	
0.308062	0.445700	
0.300051	0.452826	
0.293068	0.459579	
0.280462	0.471066	
0.277965	0.473390	
0.266712	0.484150	
0.259103	0.491539	
0.255054	0.495870	
0.245279	0.505564	
0.236309	0.514437	
0.230706	0.520272	
0.223390	0.528382	
0.216848	0.535072	
0.208580	0.544219	
0.201769	0.551769	
0.192901	0.561559	
0.187205	0.568291	
0.180244	0.576032	
0.173433	0.584571	
0.164043	0.595783	
0.158550	0.602736	
0.150147	0.613228	
0.142746	0.623146	
0.136861	0.631066	
0.130733	0.639452	
0.122824	0.650410	
0.115657	0.660718	
0.107720	0.672435	
0.101354	0.682306	
0.094495	0.693892	
0.086332	0.707274	
0.078699	0.720469	
0.072051	0.732586	
0.063926	0.748284	
0.057330	0.761624	
0.048878	0.780188	
0.041592	0.797195	
0.033203	0.818836	
0.025930	0.840076	
0.017500	0.869523	
0.009035	0.906568	
0.000034	1.008729	
